Brazil,Colombia,Gambia,Mexico,Senegal,Turkey,Vietnam,South Africa,Malaysia,Year
3142.23514,2465.007012,464.6396,8009.158,654.8407274,3100.458999,409.4977339,2867.472497,3941.123,2001
2824.715413,2421.162104,379.8624,8032.992,688.1874795,3640.762836,434.8102921,2708.423333,4177.105,2002
3056.649798,2305.170507,310.9571,7473.932,840.358254,4704.772663,485.4509081,4095.6837,4454.527,2003
3623.224462,2811.459451,596.6293,7883.523,941.8737925,6031.791367,551.9035051,5268.278576,4924.338,2004
4773.268551,3448.538323,618.9598,8702.114,1003.187193,7369.431889,693.1898425,5893.187076,5536.837,2005
5866.023414,3782.603496,615.9739,9545.287,1038.579092,8003.814493,790.5925164,6139.581618,6137.151,2006
7323.191594,4762.083068,725.0923,10178.44,1210.167498,9711.223761,913.3123316,6662.062785,7144,2007
8801.757876,5534.689447,857.8582,10589.95,1419.530903,10843.50369,1158.101627,6251.877427,8343.303,2008
8569.902547,5245.951584,772.1249,8495.653,1323.971226,9012.999458,1225.845009,6444.18684,7167.877,2009
11249.29189,6392.758026,796.6318,9823.164,1286.604966,10622.70204,1684.011772,8059.562798,8880.146,2010
13200.55623,7392.9436,705.4775,10766.61,1383.539116,11300.78522,1953.55715,8737.041269,10209.37,2011
12327.5131,8096.80151,686.5576,10842.73,1334.725915,11713.28498,2190.23244,8173.869138,10601.51,2012
12258.56571,8263.641929,647.3855,11317.49,1391.53219,12578.18786,2367.499331,7441.230854,10727.67,2013
12071.40446,8167.472842,561.6496,11490.02,1417.094987,12165.22014,2558.778758,6965.137897,11045.58,2014
8783.215424,6228.651622,611.6712,10098.17,1238.1264,11049.99511,2595.234844,6204.929901,9699.6,2015
8680.736469,5936.261022,640.6763,9152.737,1290.749971,10970.04589,2760.717101,5735.066787,9555.67,2016
9896.718895,6449.970987,632.001,9693.33,1385.199214,10695.5502,2992.071532,6734.475153,9979.704,2017
9121.020995,6782.03792,683.3246,10130.32,1484.22707,9568.83619,3267.225069,7067.724165,11073.98,2018
8845.324149,6436.509215,722.8754,10434.58,1462.678353,9215.440875,3491.09141,6702.526617,11132.1,2019
